BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
19-2736,False,False,False,True,False,False,
19-2737,False,False,False,False,False,False,Groupement de commandes
19-2738,False,False,False,False,False,False,Syndicat mixte crée en application des dispositions de l'article L. 5711-1 du CGCT (Etablissement public de coopération intercommunale)
19-2739,False,False,False,False,False,False,Groupement de commandes
19-274,False,False,False,False,True,False,
19-2740,False,False,False,False,False,False,Groupement de commandes
19-2742,False,False,True,False,False,False,
19-2747,False,False,False,False,False,False,autre
19-2748,False,False,True,False,False,False,
19-2749,False,False,True,False,False,False,
19-275,True,False,False,False,False,False,
19-2753,False,False,True,False,False,False,
19-2755,False,False,False,False,False,False,Etablissement public local d'enseignement (EPLE)
19-2756,False,False,True,False,False,False,
19-2757,False,False,False,False,True,False,
19-2758,False,False,False,False,False,False,Assurance Maladie
19-2759,False,False,False,False,True,False,
19-2761,False,False,False,False,False,False,EPLE
19-2768,False,False,False,False,False,False,Communauté de communes
19-277,False,False,False,False,True,False,
19-2770,False,False,True,False,False,False,
19-2773,False,False,False,False,False,False,Etablissement public de l'état
19-2774,True,False,False,False,False,False,
19-2778,True,False,False,False,False,False,
19-278,False,False,False,False,False,False,centre hospitalier
19-2780,False,False,True,False,False,False,
19-2781,False,False,True,False,False,False,
19-2784,True,False,False,False,False,False,
19-2787,False,False,False,False,True,False,
19-2788,True,False,False,False,False,False,
19-2789,False,False,False,False,False,False,Collectivité territoriale
19-2793,False,False,True,False,False,False,
19-2796,True,False,False,False,False,False,
19-280,False,False,False,True,False,False,
19-2800,False,False,True,False,False,False,
19-2801,False,False,True,False,False,False,
19-2806,False,False,True,False,False,False,
19-2807,False,False,True,False,False,False,
19-2812,False,False,False,False,False,False,Société d'économie mixte - Personne morale de droit privé
19-2813,False,False,False,False,True,False,
19-2819,False,False,False,False,False,False,CHU
19-2820,False,False,False,False,True,False,
19-2821,False,False,False,False,False,False,Organisme de droit privé de la MSA
19-2822,False,False,False,False,True,False,
19-2823,False,False,False,False,False,False,centre hospitalier
19-2824,False,False,True,False,False,False,
19-2828,False,False,True,False,False,False,
19-2829,False,False,True,False,False,False,
19-2830,False,False,True,False,False,False,
19-2832,False,False,False,False,False,False,Communauté de communes
19-2834,False,False,False,False,True,False,
19-2836,False,False,True,False,False,False,
19-2838,False,False,False,False,False,False,EPLE
19-2840,False,False,False,False,True,False,
