BOAMP_AVIS_NUM,D_18_01_Annexed1_Infructueuxouverte,D_18_02_Annexed1_Infructueuxrestreinte,D_18_03_Annexed1_Recherche,D_18_04_Annexed1_Raisonstechniques,D_18_05_Annexed1_Raisonsartistiques,D_18_06_Annexed1_Proprieteintellectuelle,D_18_07_Annexed1_Urgenceimperieuse,D_18_08_Annexed1_Marchecomplementaire,D_18_09_Annexed1_Prestationsidentiques,D_18_10_Annexed1_Laureatsconcours,D_18_11_Annexed1_Matierespremieres,D_18_12_Annexed1_Cessationactivite,D_18_13_Annexed1_Liquidateurs,D_18_14_Annexed1_Horsscope,D_18_15_Annexed1_Explication
18-161452,False,False,False,False,False,False,False,,False,False,,,,True,Il s'agit de 2 marchés subséquents au sens du décret no2016-360 du 25.3.2016 de l'Etat français.
18-177833,True,False,False,False,False,False,False,,False,False,,,,False,"Le 17 mai 2018, lEPF a publié un avis au JOUE et au BOAMP (no18-66419) relatif à un marché dévaluation technique des biens. Le marché était divisé en deux lots géographiques : Lot 1 : département des Bouches-du-RhôneLot 2 : département du Var Suite à louverture des plis  du 18 juin 2018, une seule offre avait été transmise concernant le lot no1. Lentreprise Poste Immo Sud Est a été notifiée le 23 juillet 2018. Concernant le lot no2, aucune offre régulière na été transmise. Il a donc été décidé de mettre fin à la procédure relative au lot no2 pour cause dinfructuosité. Après une déclaration sans suite, lacheteur doit ne pas attribuer le marché public ou recommencer une procédure. Le besoin étant toujours existant, il est décidé de recommencer une procédure sans modifier les conditions initiales du marché public de façon substantielle. Cependant, le précédent appel doffre navait pas permis une véritable mise en concurrence des opérateurs économiques  alors même quune publicité adéquate a été effectuée. Le lancement dune nouvelle procédure formalisée de mise en concurrence napparait pas pertinent. Ce constat simpose dautant plus que lappel doffre a été lancé car les précédents marchés navaient pas été reconduits. Or, lorsque seules des candidatures irrecevables au sens du IV de l'article 55 ont été transmises, comme en lespèce, le pouvoir adjudicateur est libre de passer un marché selon une procédure négociée sans publicité ni mise en concurrence préalables. Ce choix est apparu comme le plus judicieux au regard des éléments considérés."
18-178532,False,False,False,False,False,True,False,,False,False,,,,False,La DGFIP a mis en place depuis 2004 le site logique intranet POLARIS s'appuyant sur la technologie ARIS. Ce programme de documentation des procédures et des risques s'inscrit depuis son origine dans un processus de développement et donne entière satisfaction. L'utilisation d'un autre outil entraînerait une migration longue et couteuse d'où la décision de prolonger l'usage de la solution développée.
18-180988,False,False,False,False,False,False,False,,False,True,,,,False,Marché négocié conformément à l'article 30.I.6° du décret no2016-360 du 25 mars 2016 relatif aux marchés publics.
18-181251,True,False,False,False,False,False,False,,False,False,,,,False,"Cette procédure fait suite à la consultation lancée en Appel dOffres Ouvert en vue des prestations d'entretien, de réparation et de dépannage de tous véhicules du parc automobile de la ville de Toulon (en 7 lots) qui a été déclarée infructueuse. Aucune offre na été déposée pour chacun des lots 2 à 7.Le Pouvoir Adjudicateur a déclaré les lots 2 à 7 infructueux et a autorisé le recours à la procédure prévue à larticle 30-I-2 pour relancer le marché concernant les lots 3 à 7. Le lot 2 a été relancé suivant la procédure de lAppel dOffres Ouvert. En effet dans la fiche de la direction des Affaires juridiques du ministère de lEconomie et des Finances intitulée : "" Les marchés publics négociés sans publicité ni mise en concurrence préalables "" mise à jour le 30/03/2016, larticle 1.1.2, concernant les hypothèses de recours aux marchés publics négociés sans publicité ni mise en concurrence pouvant être passés par les pouvoirs adjudicateurs et les entités adjudicatrices, spécifie que les acheteurs peuvent avoir recours à la négociation sans publicité ni mise en concurrence préalables lorsque soit aucune candidature ou aucune offre na été déposée dans les délais prescrits par les documents de la consultation initiale, soit seules des candidatures irrecevables ou des offres inappropriées ont été présentées."
18-181980,False,False,False,True,False,False,False,,False,False,,,,False,l'offre des prestations correspond parfaitement aux attentes de l'administration 
19-10081,False,False,False,False,False,False,False,,False,True,,,,False,"L'attribution du marché fait suite à la mise en oeuvre d'un concours restreint conformément au 6° du I de l'article 30 du décret no 2016-360 du 25/03/2016. Le concours restreint a fait l'objet des publications suivantes : avis de concours publié au JOUE sous la référence 2018/S066-147549 et au BOAMP sous la référence 18-45178, et avis de résultat de concours publié au JOUE sous la référence 2018/S238-544519 et au BOAMP sous la référence 18-170434."
19-10965,False,False,False,False,False,True,False,,False,False,,,,False,"Procédure négociée sans publicité ni mise en concurrence préalables en application de l'art. 42-3º de l'ordonnance 2015-899 du 23.7.2015 relative aux marchés publics et de l'art. 30-I-3-c du décret 2016-360 du 25.3.2016 relatif aux marchés publics. Les services techniques de la Mairie d'Arles utilisent, dans le cadre de leurs missions, le progiciel As-Tech Office édité par la société Service Bureautique Comptabilite Gestion (Sbcg) / As-Tech Solutions, relatif à la gestion du Patrimoine et des Services techniques : gestion du patrimoine, gestion des travaux, gestion du prêt de matériel, etc. En vertu de droits d'exclusivité dont se prévaut la société éditrice, les prestations de maintenance corrective, évolutive et prestations associées des progiciels As-Tech Office - Gestion du parc de véhicules font l'objet depuis plusieurs années de marchés négociés, dont le dernier en cours d'exécution no Sm14.139 se termine le 31 décembre 2018. Afin de garantir le bon fonctionnement du progiciel As-Tech Office, il convient de conclure un nouveau marché de maintenance.Conformément à l'article 30-I-3-c du décret no2016-360 du 25 mars 2016 relatif aux marchés publics, le recours à une procédure négociée sans mise en concurrence se justifie selon les motifs suivants :-Protection de droits d'exclusivité, notamment de droits de propriété intellectuelle : la société titulaire a produit en amont de cette procédure les documents justifiant qu'elle détient l'ensemble de la propriété intellectuelle sur le progiciel As-Tech Office installé et l'exclusivité de l'hébergement, de l'exploitation et de la maintenance associée.-Absence de solution alternative ou de remplacement raisonnable : par ailleurs, il a pu être vérifié qu'aucune solution alternative ou de remplacement raisonnable n'existe.Les deux conditions cumulatives pour recourir à la procédure dérogatoire du marché public négocié sans publicité ni mise en concurrence préalables sont donc remplies"
19-11063,False,False,False,False,False,True,False,,False,False,,,,False,"Procédure négociée sans publicité ni mise en concurrence préalables en application de l'art. 42-3º de l'ordonnance 2015-899 du 23.7.2015 relative aux marchés publics et de l'art. 30-I-3-c du décret 2016-360 du 25.3.2016 relatif aux marchés publics. Le progiciel Avenio, édité par la société Di'X, est utilisé par la Mairie d'Arles afin de gérer ses fonds d'archives municipales. En vertu de droits d'exclusivité dont se prévaut la société éditrice, les prestations de maintenance corrective, évolutive et prestations associées des progiciels de la Gamme Avenio - Gestion des archives municipales font l'objet depuis plusieurs années de marchés négociés, dont le dernier en cours d'exécution no Sm14.135 se termine le 31 décembre 2018. Afin de garantir le bon fonctionnement du progiciel Avenio, il convient de conclure un nouveau marché de maintenance. Conformément à l'article 30-I-3-c du décret no2016-360 du 25 mars 2016 relatif aux marchés publics, le recours à une procédure négociée sans mise en concurrence se justifie selon les motifs suivants :-Protection de droits d'exclusivité, notamment de droits de propriété intellectuelle : la société titulaire a produit en amont de cette procédure les documents justifiant qu'elle détient l'ensemble de la propriété intellectuelle sur le progiciel Avenio et l'exclusivité de l'hébergement, de l'exploitation et de la maintenance associée.-Absence de solution alternative ou de remplacement raisonnable : par ailleurs, il a pu être vérifié qu'aucune solution alternative ou de remplacement raisonnable n'existe.Les deux conditions cumulatives pour recourir à la procédure dérogatoire du marché public négocié sans publicité ni mise en concurrence préalables sont donc remplies"
19-11064,False,False,False,False,False,True,False,,False,False,,,,False,"Procédure négociée sans publicité ni mise en concurrence préalables en application de l'art. 42-3º de l'ordonnance 2015-899 du 23.7.2015 relative aux marchés publics et de l'art. 30-I-3-c du décret 2016-360 du 25.3.2016 relatif aux marchés publics. Le progiciel Sedit, édité par la société Berger-Levrault, est utilisé par la Mairie d'Arles afin d'optimiser la gestion des Finances et des Ressources Humaines. En vertu de droits d'exclusivité dont se prévaut la société éditrice, les prestations de maintenance corrective, évolutive et prestations associées des progiciels de la gamme Berger-Levrault - Gestion des finances et des ressources humaines font l'objet depuis plusieurs années de marchés négociés, dont le dernier en cours d'exécution noSm14.141 se termine le 31 décembre 2018. Afin de garantir le bon fonctionnement du progiciel, il convient de conclure un nouveau marché de maintenance. Conformément à l'article 30-I-3-c du décret no2016-360du 25 mars 2016 relatif aux marchés publics, le recours à une procédure négociée sans mise en concurrence se justifie selon les motifs suivants :-Protection de droits d'exclusivité, notamment de droits de propriété intellectuelle : la société titulaire a produit en amont de cette procédure les documents justifiant qu'elle détient l'ensemble de la propriété intellectuelle sur le progiciel Sedit et l'exclusivité de l'hébergement, de l'exploitation et de la maintenance associée.-Absence de solution alternative ou de remplacement raisonnable : par ailleurs, il a pu être vérifié qu'aucune solution alternative ou de remplacement raisonnable n'existe.Les deux conditions cumulatives pour recourir à la procédure dérogatoire du marché public négocié sans publicité ni mise en concurrence préalables sont donc remplies"
