BOAMP_AVIS_NUM,D_11_01_Conditiondelai_Receptcandidat,D_11_02_Conditiondelai_Receptoffres,D_11_03_Conditiondelai_Limiteenvoiinvit,D_11_04_Conditiondelai_Validiteoffre,D_11_04_01_Conditiondelai_Validiteoffre_Jusquau,D_11_04_02_Conditiondelai_Validiteoffre_Dureemois,D_11_04_03_Conditiondelai_Validiteoffre_Dureejour,D_11_05_Conditiondelai_Dureesystemequalification
17-148660,,2019-03-06 17:00:00,,CF_NIV_SUIV,,,,
18-120316,,2019-03-08 11:00:00,,CF_NIV_SUIV,,,,
18-122018,,2019-04-01 11:00:00,,CF_NIV_SUIV,,,,
18-128397,,2019-03-19 11:00:00,,CF_NIV_SUIV,,4.0,,
18-130128,,2019-03-20 15:00:00,,CF_NIV_SUIV,,,,
18-132105,,2019-03-13 15:00:00,,CF_NIV_SUIV,,4.0,,
18-14116,,2019-02-28 11:00:00,,CF_NIV_SUIV,,,120.0,
18-152026,,2019-04-19 11:00:00,,CF_NIV_SUIV,,,,
18-155327,,2019-03-05 11:00:00,,CF_NIV_SUIV,,8.0,,
18-159092,,2019-03-25 11:00:00,,CF_NIV_SUIV,,4.0,,
18-159261,,2019-03-25 11:00:00,,CF_NIV_SUIV,,4.0,,
18-159515,,2019-03-14 15:00:00,,CF_NIV_SUIV,,7.0,,
18-160351,,2019-03-19 15:00:00,,CF_NIV_SUIV,,,,
18-160385,,2019-03-21 11:00:00,,CF_NIV_SUIV,,,,
18-162307,,2019-03-28 11:00:00,,CF_NIV_SUIV,,6.0,,
18-163085,,2019-03-06 11:00:00,,CF_NIV_SUIV,,,,
18-163736,,2019-03-18 11:00:00,,CF_NIV_SUIV,,,120.0,
19-95052,,2019-07-10 16:00:00,,CF_NIV_SUIV,,,,
18-164855,,2019-03-22 11:00:00,,CF_NIV_SUIV,,6.0,,
18-164989,,2019-03-04 11:15:00,,CF_NIV_SUIV,,4.0,,
19-93560,,2019-07-23 09:00:00,,CF_NIV_SUIV,,3.0,,
18-166733,,2019-03-18 11:00:00,,CF_NIV_SUIV,,4.0,,
18-166794,,2019-03-13 14:30:00,,CF_NIV_SUIV,,4.0,,
18-167024,,2019-03-11 10:00:00,,CF_NIV_SUIV,,4.0,,
18-167097,,2019-03-11 11:00:00,,CF_NIV_SUIV,,8.0,,
18-168146,,2019-03-04 11:00:00,,CF_NIV_SUIV,,,120.0,
18-168543,,2019-03-18 13:00:00,,CF_NIV_SUIV,,,,
18-168814,,2019-03-06 15:00:00,,CF_NIV_SUIV,,,,
18-169923,,2019-03-08 15:00:00,,CF_NIV_SUIV,,4.0,,
18-170180,,2019-02-28 15:00:00,,CF_NIV_SUIV,,6.0,,
18-171364,,2019-03-08 11:00:00,,CF_NIV_SUIV,,,,
18-171583,,2019-03-20 11:00:00,,CF_NIV_SUIV,,6.0,,
18-172879,,2019-03-22 11:00:00,,CF_NIV_SUIV,,,180.0,
18-173229,,2019-03-07 11:00:00,,CF_NIV_SUIV,,,120.0,
18-176253,,2019-03-11 15:00:00,,CF_NIV_SUIV,,,180.0,
18-176478,,2019-03-20 11:00:00,,CF_NIV_SUIV,,,180.0,
18-176633,,2019-03-15 10:00:00,,CF_NIV_SUIV,,,,
18-176652,,2019-03-13 14:30:00,,CF_NIV_SUIV,,5.0,,
18-176686,,2019-03-27 11:00:00,,CF_NIV_SUIV,,6.0,,
18-177036,,2019-03-15 11:00:00,,CF_NIV_SUIV,,6.0,,
19-94849,,2019-07-11 11:00:00,,CF_NIV_SUIV,,,120.0,
18-177315,,2019-03-20 11:00:00,,CF_NIV_SUIV,,4.0,,
18-178097,,2019-03-11 11:00:00,,CF_NIV_SUIV,,,,
18-179744,,2019-03-19 11:00:00,,CF_NIV_SUIV,,6.0,,
18-180632,,2019-03-28 11:00:00,,CF_NIV_SUIV,,,,
18-180732,,2019-03-19 13:00:00,,CF_NIV_SUIV,,5.0,,
18-180990,,2019-03-12 11:00:00,2019-05-30 22:00:00,CF_NIV_SUIV,,6.0,,
18-181153,,2019-03-22 15:00:00,2019-03-28 23:00:00,CF_NIV_SUIV,,6.0,,
18-24363,,2019-03-14 11:00:00,,CF_NIV_SUIV,,,90.0,
18-65696,1556622000000.0,,,CF_NIV_SUIV,,,,
18-70964,,2019-03-12 11:00:00,,CF_NIV_SUIV,,4.0,,
18-98051,,2019-03-18 14:30:00,,CF_NIV_SUIV,,6.0,,
19-10021,,2019-03-25 11:00:00,,CF_NIV_SUIV,,,,
19-10036,,2019-04-08 11:00:00,,CF_NIV_SUIV,,4.0,,
19-10063,,2019-03-18 11:00:00,,CF_NIV_SUIV,,,,
19-10066,,2019-03-20 15:00:00,,CF_NIV_SUIV,,,180.0,
19-10104,,2019-03-26 14:30:00,,CF_NIV_SUIV,,4.0,,
19-10265,,2019-03-04 10:00:00,,CF_NIV_SUIV,,,180.0,
19-10367,,2019-03-04 16:30:00,,CF_NIV_SUIV,,,,
19-10405,,2019-03-21 15:00:00,,CF_NIV_SUIV,,,150.0,
19-10438,,2019-03-07 23:00:00,,CF_NIV_SUIV,,,,
19-10496,,2019-03-11 11:00:00,,CF_NIV_SUIV,,,180.0,
19-10505,,2019-03-15 15:00:00,,CF_NIV_SUIV,,9.0,,
19-10571,,2019-03-22 11:00:00,,CF_NIV_SUIV,,6.0,,
19-10584,,2019-03-11 15:00:00,,CF_NIV_SUIV,,4.0,,
19-10668,,2019-03-05 10:30:00,,CF_NIV_SUIV,,4.0,,
19-10733,,2019-04-12 11:00:00,,CF_NIV_SUIV,,8.0,,
19-10767,,2019-02-28 11:00:00,,CF_NIV_SUIV,,4.0,,
19-10785,1550487600000.0,,,CF_NIV_SUIV,,,,
19-10795,,2019-03-05 11:00:00,,CF_NIV_SUIV,,4.0,,
19-10897,,2019-03-19 11:00:00,,CF_NIV_SUIV,,,,
19-10917,,2019-03-27 11:00:00,,CF_NIV_SUIV,,5.0,,
19-10931,,2019-03-08 14:30:00,,CF_NIV_SUIV,,8.0,,
19-10977,1550487600000.0,,,CF_NIV_SUIV,,,,
19-10989,,2019-03-21 11:00:00,,CF_NIV_SUIV,,4.0,,
19-11040,,2019-03-20 11:00:00,,CF_NIV_SUIV,,4.0,,
19-11041,,2019-03-08 11:00:00,,CF_NIV_SUIV,,3.0,,
19-11076,,2019-03-07 11:00:00,,CF_NIV_SUIV,,,180.0,
19-11169,,2019-04-10 14:00:00,,CF_NIV_SUIV,,,,
19-11207,,2019-03-18 11:00:00,2019-03-24 23:00:00,CF_NIV_SUIV,,120.0,,
19-1121,,2019-03-11 15:30:00,,CF_NIV_SUIV,,,180.0,
19-11291,,2019-04-05 10:00:00,,CF_NIV_SUIV,,,,
19-90804,,2019-07-04 11:00:00,,CF_NIV_SUIV,,,90.0,
19-11318,,2019-03-21 11:00:00,,CF_NIV_SUIV,,,,
19-11369,,2019-03-22 15:00:00,,CF_NIV_SUIV,,,,
19-11416,,2019-02-28 11:00:00,,CF_NIV_SUIV,,,90.0,
19-11426,,2019-03-22 12:00:00,,CF_NIV_SUIV,,4.0,,
19-11466,,2019-02-25 16:00:00,,CF_NIV_SUIV,,,180.0,
19-11645,,2019-02-25 11:00:00,,CF_NIV_SUIV,,,200.0,
19-11657,,2019-02-25 11:00:00,,CF_NIV_SUIV,,,,
19-11741,,2019-03-21 10:00:00,,CF_NIV_SUIV,,4.0,,
19-11877,,2019-03-04 09:00:00,2019-03-21 23:00:00,CF_NIV_SUIV,,3.0,,
19-11929,,2019-03-08 16:30:00,,CF_NIV_SUIV,,,90.0,
19-11932,,2019-03-12 11:00:00,,CF_NIV_SUIV,,3.0,,
19-90664,,2019-07-04 16:00:00,,CF_NIV_SUIV,,,,
19-12000,,2019-03-13 11:00:00,,CF_NIV_SUIV,,,,
19-12004,,2019-03-21 11:00:00,,CF_NIV_SUIV,,90.0,,
19-12052,,2019-03-07 16:00:00,,CF_NIV_SUIV,,5.0,,
19-12117,,2019-03-25 11:00:00,,CF_NIV_SUIV,,,,
19-12126,,2019-03-05 14:30:00,,CF_NIV_SUIV,,4.0,,
19-12160,,2019-03-15 15:00:00,,CF_NIV_SUIV,,4.0,,
19-12302,,2019-03-11 11:00:00,,CF_NIV_SUIV,,,180.0,
19-12370,,2019-03-07 11:00:00,,CF_NIV_SUIV,,4.0,,
19-12414,,2019-04-05 16:00:00,,CF_NIV_SUIV,,4.0,,
19-12423,,2019-03-14 15:00:00,,CF_NIV_SUIV,,,210.0,
19-12431,,2019-03-29 15:00:00,,CF_NIV_SUIV,,,120.0,
19-12540,,2019-02-22 11:00:00,,CF_NIV_SUIV,,4.0,,
19-12603,,2019-03-12 18:00:00,,CF_NIV_SUIV,,3.0,,
19-12663,1551438000000.0,,,CF_NIV_SUIV,,,90.0,
19-12679,,2019-05-10 14:00:00,,CF_NIV_SUIV,,6.0,,
19-12763,,2019-03-20 15:00:00,,CF_NIV_SUIV,,,,
19-12771,,2019-03-11 15:30:00,,CF_NIV_SUIV,,8.0,,
19-12790,,2019-04-02 14:30:00,,CF_NIV_SUIV,,,150.0,
19-12822,,2019-03-14 11:00:00,,CF_NIV_SUIV,,6.0,,
19-12960,,2019-03-12 14:30:00,,CF_NIV_SUIV,,5.0,,
19-95086,,2019-07-18 15:00:00,,CF_NIV_SUIV,,,120.0,
19-96198,,2019-07-15 16:00:00,,CF_NIV_SUIV,,,,
19-13101,,2019-03-12 11:00:00,,CF_NIV_SUIV,,,120.0,
19-1313,,2019-03-08 11:00:00,,CF_NIV_SUIV,,,,
19-13133,,2019-02-22 14:30:00,,CF_NIV_SUIV,,4.0,,
19-13153,,2019-04-02 15:00:00,,CF_NIV_SUIV,,6.0,,
19-13156,,2019-03-07 10:30:00,,CF_NIV_SUIV,,,,
19-13172,1550487600000.0,,,CF_NIV_SUIV,,,,
19-13187,,2019-03-04 16:00:00,,CF_NIV_SUIV,,4.0,,
19-13198,,2019-03-13 11:00:00,,CF_NIV_SUIV,,,,
19-13207,,2019-03-12 11:00:00,,CF_NIV_SUIV,,6.0,,
19-13210,,2019-03-04 11:15:00,,CF_NIV_SUIV,,,120.0,
19-13224,1550487600000.0,,,CF_NIV_SUIV,,,,
19-13226,,2019-03-15 15:30:00,,CF_NIV_SUIV,,,,
19-13228,,2019-04-10 11:00:00,,CF_NIV_SUIV,,,180.0,
19-13243,1550487600000.0,,,CF_NIV_SUIV,,,,
19-13264,1550487600000.0,,,CF_NIV_SUIV,,,,
19-13301,,2019-03-11 11:00:00,,CF_NIV_SUIV,,4.0,,
19-13386,1550487600000.0,,,CF_NIV_SUIV,,,,
19-13391,1550487600000.0,,,CF_NIV_SUIV,,,,
19-13395,1550487600000.0,,,CF_NIV_SUIV,,,,
19-13448,1552906800000.0,,,CF_NIV_SUIV,,,120.0,
19-13457,,2019-03-06 13:00:00,,CF_NIV_SUIV,,6.0,,
19-13465,,2019-03-18 15:00:00,,CF_NIV_SUIV,,8.0,,
19-13593,,2019-03-15 11:00:00,,CF_NIV_SUIV,,2.0,,
19-91340,,2019-07-17 15:00:00,,CF_NIV_SUIV,,6.0,,
19-13859,,2019-02-21 11:00:00,,CF_NIV_SUIV,,,180.0,
19-13902,,2019-03-22 11:00:00,,CF_NIV_SUIV,,,,
19-13903,,2019-03-29 11:00:00,,CF_NIV_SUIV,,6.0,,
19-13918,1553079600000.0,2019-03-21 11:00:00,,CF_NIV_SUIV,,,,
19-13945,,2019-04-04 15:00:00,,CF_NIV_SUIV,,6.0,,
19-13985,,2019-03-08 11:00:00,,CF_NIV_SUIV,,3.0,,
19-14011,,2019-03-04 11:00:00,,CF_NIV_SUIV,,5.0,,
19-14060,,2019-03-29 15:00:00,,CF_NIV_SUIV,,,,
19-14092,,2019-03-08 11:00:00,,CF_NIV_SUIV,,,,
19-14140,,2019-03-14 14:30:00,,CF_NIV_SUIV,,,,
19-14207,,2019-03-19 15:00:00,,CF_NIV_SUIV,,6.0,,
19-14262,,2019-03-28 11:00:00,,CF_NIV_SUIV,,4.0,,
19-14292,,2019-03-12 16:30:00,,CF_NIV_SUIV,,,90.0,
19-14307,,2019-03-18 11:00:00,,CF_NIV_SUIV,,120.0,,
19-14318,,2019-03-14 15:00:00,,CF_NIV_SUIV,,4.0,,
19-14335,,2019-03-15 14:00:00,,CF_NIV_SUIV,,4.0,,
19-14347,,2019-03-07 11:00:00,,CF_NIV_SUIV,,4.0,,
19-14357,,2019-03-15 11:00:00,,CF_NIV_SUIV,,,,
19-14370,,2019-03-18 11:00:00,,CF_NIV_SUIV,,4.0,,
19-14408,,2019-02-27 11:00:00,,CF_NIV_SUIV,,,120.0,
19-14420,,2019-03-15 14:30:00,,CF_NIV_SUIV,,8.0,,
19-14481,,2019-03-04 15:00:00,,CF_NIV_SUIV,,,,
19-14517,,2019-03-06 11:00:00,,CF_NIV_SUIV,,,,
19-14542,,2019-03-11 15:00:00,,CF_NIV_SUIV,,6.0,,
19-14576,,2019-03-13 11:00:00,,CF_NIV_SUIV,,8.0,,
19-14638,,2019-03-01 11:00:00,,CF_NIV_SUIV,,6.0,,
19-14640,,2019-03-12 15:00:00,,CF_NIV_SUIV,,6.0,,
19-14642,,2019-03-25 11:00:00,,CF_NIV_SUIV,,4.0,,
19-14647,,2019-03-15 16:00:00,,CF_NIV_SUIV,,,,
19-14674,,2019-03-18 11:00:00,,CF_NIV_SUIV,,6.0,,
19-14676,,2019-02-26 11:00:00,,CF_NIV_SUIV,,3.0,,
19-14696,,2019-03-13 11:00:00,,CF_NIV_SUIV,,,,
19-14701,,2019-03-08 11:00:00,,CF_NIV_SUIV,,,180.0,
19-14731,,2019-03-04 15:30:00,,CF_NIV_SUIV,,8.0,,
19-14735,,2019-03-01 15:00:00,,CF_NIV_SUIV,,,,
19-14753,,2019-02-21 11:00:00,,CF_NIV_SUIV,,,,
19-14763,,2019-03-12 14:30:00,,CF_NIV_SUIV,,4.0,,
19-14866,,2019-03-07 23:00:00,,CF_NIV_SUIV,,4.0,,
19-14876,,2019-02-28 11:00:00,,CF_NIV_SUIV,,4.0,,
19-14877,,2019-03-18 11:00:00,,CF_NIV_SUIV,,120.0,,
19-14904,,2019-02-21 11:00:00,,CF_NIV_SUIV,,,120.0,
19-14910,,2019-03-19 11:00:00,,CF_NIV_SUIV,,,180.0,
19-14912,,2019-03-18 11:00:00,,CF_NIV_SUIV,,,,
19-14974,,2019-03-12 11:00:00,,CF_NIV_SUIV,,4.0,,
19-14991,,2019-03-12 16:00:00,,CF_NIV_SUIV,,,120.0,
19-15015,,2019-03-15 15:00:00,,CF_NIV_SUIV,,,,
19-15020,,2019-03-04 11:00:00,2019-03-18 23:00:00,CF_NIV_SUIV,,6.0,,
19-15042,,2019-03-07 11:00:00,,CF_NIV_SUIV,,3.0,,
19-15077,,2019-03-08 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15090,,2019-03-18 11:00:00,,CF_NIV_SUIV,,,120.0,
19-15112,,2019-03-15 11:00:00,,CF_NIV_SUIV,,,,
19-15162,,2019-03-04 11:00:00,,CF_NIV_SUIV,,,,
19-15171,,2019-03-15 10:00:00,,CF_NIV_SUIV,,,,
19-15172,,2019-03-20 11:00:00,,CF_NIV_SUIV,,,,
19-15188,,2019-03-04 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15197,,2019-03-04 11:00:00,,CF_NIV_SUIV,,3.0,,
19-15225,,2019-03-18 11:00:00,,CF_NIV_SUIV,,4.0,,
19-90096,,2019-06-25 11:00:00,,CF_NIV_SUIV,,,,
19-15264,,2019-02-28 11:00:00,,CF_NIV_SUIV,,5.0,,
19-15289,,2019-02-27 11:00:00,,CF_NIV_SUIV,,5.0,,
19-15346,,2019-03-08 11:00:00,,CF_NIV_SUIV,,,180.0,
19-15397,,2019-03-11 11:00:00,,CF_NIV_SUIV,,8.0,,
19-15402,,2019-03-01 08:00:00,,CF_NIV_SUIV,,4.0,,
19-15403,,2019-03-08 15:00:00,,CF_NIV_SUIV,,,,
19-90615,,2019-07-16 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15406,,2019-03-11 11:00:00,,CF_NIV_SUIV,,,120.0,
19-15407,,2019-02-21 11:00:00,,CF_NIV_SUIV,,,,
19-15408,,2019-03-04 18:00:00,,CF_NIV_SUIV,,4.0,,
19-89773,,2019-07-09 11:00:00,,CF_NIV_SUIV,,,120.0,
19-15437,,2019-03-08 16:00:00,,CF_NIV_SUIV,,4.0,,
19-15445,,2019-03-04 15:00:00,,CF_NIV_SUIV,,6.0,,
19-15447,,2019-03-18 14:00:00,,CF_NIV_SUIV,,,,
19-15459,,2019-03-07 16:00:00,,CF_NIV_SUIV,,6.0,,
19-15461,,2019-03-05 11:00:00,,CF_NIV_SUIV,,9.0,,
19-15477,,2019-03-01 15:00:00,,CF_NIV_SUIV,,6.0,,
19-15479,,2019-03-05 11:30:00,,CF_NIV_SUIV,,12.0,,
19-15480,,2019-03-01 16:00:00,,CF_NIV_SUIV,,4.0,,
19-15481,,2019-02-26 11:00:00,,CF_NIV_SUIV,,,120.0,
19-15491,,2019-03-07 15:00:00,,CF_NIV_SUIV,,4.0,,
19-15503,,2019-03-04 16:00:00,,CF_NIV_SUIV,,,,
19-15506,,2019-03-07 16:00:00,,CF_NIV_SUIV,,,,
19-15511,,2019-03-04 11:00:00,,CF_NIV_SUIV,,3.0,,
19-15530,,2019-03-07 16:00:00,,CF_NIV_SUIV,,6.0,,
19-15531,,2019-03-15 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15544,,2019-03-04 11:00:00,,CF_NIV_SUIV,,3.0,,
19-15552,,2019-03-04 11:00:00,,CF_NIV_SUIV,,6.0,,
19-90899,1567182600000.0,,,CF_NIV_SUIV,,12.0,,
19-15566,,2019-03-05 11:00:00,,CF_NIV_SUIV,,6.0,,
19-15569,,2019-03-05 15:00:00,,CF_NIV_SUIV,,4.0,,
19-15572,,2019-04-01 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15573,,2019-03-04 11:00:00,,CF_NIV_SUIV,,3.0,,
19-15575,,2019-03-04 11:00:00,,CF_NIV_SUIV,,6.0,,
19-15576,,2019-03-01 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15589,,2019-03-04 15:00:00,,CF_NIV_SUIV,,4.0,,
19-15592,,2019-03-01 11:00:00,,CF_NIV_SUIV,,,,
19-15602,,2019-03-20 11:00:00,,CF_NIV_SUIV,,,120.0,
19-15610,,2019-02-27 16:00:00,,CF_NIV_SUIV,,,120.0,
19-15613,,2019-03-07 16:00:00,,CF_NIV_SUIV,,6.0,,
19-15625,,2019-03-22 11:30:00,,CF_NIV_SUIV,,,,
19-15626,,2019-03-06 11:00:00,,CF_NIV_SUIV,,6.0,,
19-15640,,2019-04-29 23:00:00,,CF_NIV_SUIV,,,,
19-15661,,2019-03-27 10:30:00,,CF_NIV_SUIV,,,,
19-15662,,2019-03-07 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15666,,2019-03-07 11:00:00,,CF_NIV_SUIV,,3.0,,
19-15669,,2019-03-04 15:00:00,,CF_NIV_SUIV,,4.0,,
19-15670,,2019-03-08 11:00:00,,CF_NIV_SUIV,,6.0,,
19-15671,,2019-03-01 09:00:00,,CF_NIV_SUIV,,4.0,,
19-90682,1567182600000.0,,,CF_NIV_SUIV,,12.0,,
19-15675,,2019-04-30 11:00:00,,CF_NIV_SUIV,,,,
19-15676,,2019-03-04 11:00:00,,CF_NIV_SUIV,,10.0,,
19-15677,,2019-02-25 15:00:00,,CF_NIV_SUIV,,,,
19-15687,,2019-03-04 14:00:00,,CF_NIV_SUIV,,9.0,,
19-15692,,2019-03-08 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15694,,2019-03-06 15:00:00,,CF_NIV_SUIV,,,120.0,
19-15695,,2019-03-12 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15699,,2019-03-01 11:30:00,,CF_NIV_SUIV,,3.0,,
19-15702,,2019-03-05 15:00:00,,CF_NIV_SUIV,,,,
19-15713,,2019-03-18 15:30:00,,CF_NIV_SUIV,,8.0,,
19-15723,,2019-03-06 16:00:00,,CF_NIV_SUIV,,4.0,,
19-15724,,2019-03-07 11:00:00,,CF_NIV_SUIV,,4.0,,
19-91174,,2019-07-08 11:00:00,,CF_NIV_SUIV,,,120.0,
19-15727,,2019-03-04 15:00:00,,CF_NIV_SUIV,,,,
19-15735,,2019-03-18 11:00:00,,CF_NIV_SUIV,,5.0,,
19-15738,,2019-03-07 15:00:00,,CF_NIV_SUIV,,,,
19-15742,,2019-03-04 15:00:00,,CF_NIV_SUIV,,4.0,,
19-15743,,2019-03-06 11:00:00,,CF_NIV_SUIV,,,180.0,
19-15754,,2019-04-02 11:00:00,,CF_NIV_SUIV,,6.0,,
19-15755,,2019-03-08 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15758,,2019-03-04 16:00:00,,CF_NIV_SUIV,,4.0,,
19-15759,,2019-03-01 08:00:00,,CF_NIV_SUIV,,6.0,,
19-15760,,2019-02-27 16:00:00,,CF_NIV_SUIV,,,,
19-15764,,2019-03-06 15:00:00,,CF_NIV_SUIV,,4.0,,
19-15783,,2019-03-07 15:00:00,,CF_NIV_SUIV,,4.0,,
19-15787,,2019-03-05 15:00:00,,CF_NIV_SUIV,,4.0,,
19-15790,,2019-03-04 11:00:00,,CF_NIV_SUIV,,,,
19-15791,,2019-02-28 16:00:00,,CF_NIV_SUIV,,,,
19-15805,,2019-03-13 11:00:00,,CF_NIV_SUIV,,,,
19-15810,,2019-04-05 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15815,,2019-03-08 11:00:00,,CF_NIV_SUIV,,3.0,,
19-15822,,2019-03-04 15:00:00,,CF_NIV_SUIV,,4.0,,
19-15831,,2019-03-04 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15832,,2019-03-04 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15855,,2019-03-04 11:00:00,,CF_NIV_SUIV,,6.0,,
19-15860,,2019-03-04 11:00:00,,CF_NIV_SUIV,,4.0,,
19-90457,,2019-07-03 11:00:00,,CF_NIV_SUIV,,,120.0,
19-15874,,2019-03-05 19:00:00,,CF_NIV_SUIV,,3.0,,
19-15876,,2019-03-12 18:00:00,,CF_NIV_SUIV,,4.0,,
19-15878,,2019-03-04 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15885,,2019-03-04 11:00:00,,CF_NIV_SUIV,,6.0,,
19-15892,,2019-03-05 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15894,,2019-02-28 11:00:00,,CF_NIV_SUIV,,,,
19-15898,,2019-03-04 11:00:00,,CF_NIV_SUIV,,,,
19-90780,,2019-07-17 11:30:00,,CF_NIV_SUIV,,6.0,,
19-15909,,2019-03-04 15:00:00,2019-04-07 22:00:00,CF_NIV_SUIV,,4.0,,
19-15912,,2019-03-04 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15913,,2019-03-18 11:00:00,,CF_NIV_SUIV,,2.0,,
19-15915,,2019-03-04 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15927,,2019-02-25 15:00:00,,CF_NIV_SUIV,,,120.0,
19-15929,,2019-03-07 16:00:00,,CF_NIV_SUIV,,3.0,,
19-15934,,2019-03-11 11:00:00,,CF_NIV_SUIV,,,,
19-15935,,2019-03-07 15:00:00,,CF_NIV_SUIV,,7.0,,
19-15936,,2019-03-15 11:00:00,,CF_NIV_SUIV,,,,
19-15939,,2019-03-11 11:00:00,,CF_NIV_SUIV,,6.0,,
19-15951,,2019-03-13 14:00:00,,CF_NIV_SUIV,,,,
19-15952,,2019-02-21 11:00:00,,CF_NIV_SUIV,,,180.0,
19-15953,,2019-03-08 11:00:00,,CF_NIV_SUIV,,,,
19-15958,,2019-03-15 15:00:00,,CF_NIV_SUIV,,4.0,,
19-15960,,2019-03-04 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15967,,2019-03-14 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15970,,2019-03-04 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15972,,2019-03-08 15:00:00,,CF_NIV_SUIV,,6.0,,
19-15983,,2019-03-01 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15988,,2019-03-07 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15989,,2019-03-07 11:00:00,,CF_NIV_SUIV,,4.0,,
19-15991,,2019-02-18 13:00:00,,CF_NIV_SUIV,,3.0,,
19-91995,,2019-07-08 15:00:00,,CF_NIV_SUIV,,,,
19-15999,,2019-03-08 11:00:00,,CF_NIV_SUIV,,,,
19-16001,,2019-03-05 15:00:00,,CF_NIV_SUIV,,4.0,,
19-16011,,2019-03-05 11:00:00,,CF_NIV_SUIV,,4.0,,
19-16018,,2019-02-17 23:00:00,,CF_NIV_SUIV,,,,
19-16020,,2019-02-21 11:00:00,,CF_NIV_SUIV,,8.0,,
19-16022,,2019-03-13 16:00:00,,CF_NIV_SUIV,,5.0,,
19-16025,,2019-03-01 11:00:00,,CF_NIV_SUIV,,6.0,,
19-16027,,2019-03-01 15:30:00,,CF_NIV_SUIV,,4.0,,
19-16043,,2019-03-08 11:00:00,,CF_NIV_SUIV,,,,
19-16044,,2019-03-07 11:00:00,,CF_NIV_SUIV,,8.0,,
19-90448,,2019-07-16 11:00:00,,CF_NIV_SUIV,,,,
19-16047,,2019-03-04 20:00:00,,CF_NIV_SUIV,,3.0,,
