BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
17-88659,False,False,False,False,True,False,False,
18-150641,False,False,False,False,True,False,False,
18-165025,False,False,False,False,False,False,True,
18-59158,False,False,False,False,False,False,False,
18-66602,False,False,False,False,True,False,False,
19-17588,False,False,False,False,True,False,False,
19-19558,False,False,False,False,True,False,False,
19-21881,False,False,False,False,False,True,False,
19-23037,False,False,True,False,False,False,False,
19-27444,False,False,False,False,False,False,True,
19-27750,False,False,False,False,False,True,False,
19-31103,False,False,False,False,True,False,False,
19-31611,False,False,False,False,False,False,False,
19-33208,False,False,False,True,False,False,False,
19-34125,False,False,False,False,False,False,True,
19-34316,False,True,False,False,False,False,False,
19-37785,False,False,False,False,True,False,False,
19-41169,False,False,False,False,False,False,True,
19-41722,False,False,False,False,False,False,False,
19-42218,False,False,False,False,False,False,True,
19-42313,False,False,False,False,True,False,False,
19-44337,False,False,False,False,False,False,False,
19-45346,False,False,False,False,False,False,False,
19-46281,False,False,False,False,False,True,False,
19-49095,False,False,False,False,True,False,False,
19-52709,False,False,False,False,True,False,False,
19-53129,False,False,False,False,False,False,False,
19-53166,False,False,False,False,False,False,False,
19-53173,False,False,False,False,False,False,True,
19-53658,False,False,False,False,False,True,False,
19-53660,False,False,False,False,False,True,False,
19-53675,False,False,False,False,False,True,False,
19-53686,False,True,False,False,False,False,False,
19-53799,False,False,False,False,False,False,True,
19-53987,False,False,False,False,False,False,False,
19-54113,False,True,False,False,False,False,False,
19-54894,False,False,False,False,False,False,False,
19-54959,False,False,False,False,False,True,False,
19-56066,False,False,False,False,True,False,False,
19-56740,False,False,False,False,False,False,True,
19-57078,False,False,False,False,False,False,True,
19-57229,False,False,False,False,False,False,False,
19-57331,False,False,False,False,True,False,False,
19-57441,False,False,False,False,False,False,False,
19-58159,False,False,False,False,True,False,False,
19-58853,False,False,False,False,False,False,True,
19-59182,False,False,False,False,False,True,False,
19-59268,False,False,False,False,False,True,False,
19-59296,False,False,False,False,True,False,False,
19-59310,False,True,False,False,False,False,False,
19-59868,False,False,False,False,False,False,True,
19-59927,False,False,False,False,True,False,False,
19-59933,False,False,False,False,True,False,False,
19-59963,False,False,False,False,True,False,False,
19-60161,False,False,False,False,True,False,False,
19-60192,False,False,False,False,True,False,False,
19-60229,False,False,False,False,False,True,False,
19-60591,False,False,False,False,False,False,True,
19-60634,False,False,False,False,False,True,False,
19-60925,False,False,False,False,False,False,False,
19-60949,False,False,False,True,False,False,False,
19-61401,False,False,True,False,False,False,False,
19-61404,False,False,False,False,True,False,False,
19-61481,False,False,False,True,False,False,False,
19-61564,False,False,False,False,False,False,True,
19-61567,False,False,False,False,False,False,False,
19-61747,False,True,False,False,False,False,False,
19-61808,False,False,False,False,True,False,False,
19-61819,False,False,False,False,True,False,False,
19-61947,False,False,False,True,False,False,False,
19-62013,False,True,False,False,False,False,False,
19-62227,False,False,False,True,False,False,False,
19-62472,False,False,False,False,True,False,False,
19-62483,False,False,False,False,False,True,False,
19-63003,False,False,False,False,False,False,False,
19-63204,False,False,False,False,False,False,False,
