BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
19-77095,False,False,False,False,False,False,False,
19-77097,False,False,False,False,False,False,True,
19-77098,False,True,False,False,False,False,False,
19-77101,False,False,False,False,False,False,False,
19-77109,False,False,False,False,False,False,False,
19-77112,False,False,False,False,False,False,True,
19-77117,False,False,False,False,True,False,False,
19-77119,False,False,False,False,False,False,False,
19-77120,False,False,False,False,True,False,False,
19-77122,False,False,False,False,False,False,False,
19-77123,False,False,False,False,True,False,False,
19-77124,False,False,False,False,False,False,True,
19-77125,False,False,False,False,False,True,False,
19-77127,False,False,False,False,True,False,False,
19-77130,False,False,False,False,False,False,True,
19-77132,False,False,False,False,True,False,False,
19-77133,False,False,False,False,False,False,False,
19-77134,False,False,False,False,True,False,False,
19-77136,False,False,False,False,False,False,True,
19-77138,False,False,False,False,False,False,True,
19-77143,False,False,False,False,True,False,False,
19-77145,False,False,False,False,True,False,False,
19-77147,False,False,False,False,True,False,False,
19-77148,False,True,False,False,False,False,False,
19-77152,False,True,False,False,False,False,False,
19-77157,False,False,False,True,False,False,False,
19-77158,False,False,False,False,True,False,False,
19-77159,False,False,False,True,False,False,False,
19-77160,False,False,False,False,False,False,True,
19-77162,False,False,False,False,True,False,False,
19-77163,False,False,False,False,True,False,False,
19-77165,False,False,False,False,True,False,False,
19-77167,False,False,False,False,True,False,False,
19-77169,False,False,False,True,False,False,False,
19-77170,False,False,False,False,True,False,False,
19-77171,False,False,False,False,False,True,False,
19-77173,False,False,False,False,True,False,False,
19-77175,False,False,False,False,True,False,False,
19-77176,False,False,False,False,True,False,False,
19-77177,False,False,False,False,False,False,False,
19-77178,False,False,False,False,False,False,True,
19-77179,False,False,False,False,True,False,False,
19-77181,False,False,False,False,False,False,False,
19-77183,False,False,False,False,False,False,False,
19-77188,False,False,False,False,False,False,False,
19-77191,False,False,False,False,True,False,False,
19-77192,False,False,False,False,False,False,True,
19-77194,False,False,False,False,False,False,False,
19-77196,False,False,False,False,True,False,False,
19-77198,False,True,False,False,False,False,False,
19-77199,False,True,False,False,False,False,False,
19-77201,False,False,False,True,False,False,False,
19-77208,False,False,False,False,False,False,True,
19-77209,False,False,False,False,False,True,False,
19-77210,False,False,False,False,False,False,True,
19-77211,False,False,False,False,True,False,False,
19-77213,False,False,False,False,False,False,True,
19-77214,False,False,False,False,True,False,False,
19-77215,False,False,False,False,False,False,True,
19-77217,False,False,False,False,False,False,False,
19-77218,False,False,False,False,True,False,False,
19-77221,False,False,False,False,True,False,False,
19-77223,False,False,False,False,False,False,True,
19-77224,False,False,False,False,False,False,True,
19-77230,False,False,False,False,False,False,False,
19-77233,False,False,False,False,False,True,False,
19-77244,False,False,False,False,True,False,False,
19-77251,False,False,False,False,False,False,True,
19-77252,False,False,False,False,False,False,True,
19-77253,False,False,False,False,True,False,False,
19-77254,False,False,False,False,False,False,False,
19-77262,False,False,False,False,False,False,False,
19-77267,False,False,True,False,False,False,False,
19-77268,False,False,False,False,False,False,False,
19-77270,False,False,False,False,False,False,True,
19-77271,False,False,False,False,True,False,False,
19-77275,False,False,False,False,True,False,False,
19-77276,False,False,False,False,False,False,False,
19-77277,False,False,False,False,False,False,False,
19-77281,False,False,True,False,False,False,False,
19-77285,False,False,False,False,False,False,False,
19-77290,False,False,False,False,True,False,False,
19-77295,False,False,False,False,False,False,True,
19-77297,False,True,False,False,False,False,False,
19-77301,False,False,False,False,True,False,False,
19-77302,False,False,False,False,True,False,False,
19-77303,False,False,False,False,True,False,False,
19-77305,False,False,False,False,True,False,False,
19-77307,False,False,False,False,False,False,True,
19-77309,False,False,False,True,False,False,False,
19-77319,False,False,False,False,False,False,True,
19-77325,False,False,True,False,False,False,False,
19-77328,False,False,False,False,False,False,False,
19-77333,False,False,False,False,True,False,False,
19-77334,False,False,False,False,False,False,True,
19-77335,False,False,False,False,True,False,False,
19-77339,False,False,False,False,False,True,False,
19-77340,False,False,False,False,False,False,True,
19-77342,False,False,False,False,True,False,False,
19-77344,False,False,False,False,False,False,True,
19-77345,False,False,False,False,True,False,False,
19-77346,False,False,False,False,False,False,True,
19-77347,False,False,False,False,True,False,False,
19-77349,False,False,False,False,True,False,False,
19-77350,False,False,False,False,True,False,False,
19-77351,False,False,False,False,False,False,True,
19-77352,False,False,False,False,True,False,False,
19-77354,False,False,False,False,False,False,True,
19-77356,False,False,False,False,False,False,True,
19-77358,False,False,False,False,True,False,False,
19-77360,False,False,False,False,True,False,False,
19-77361,False,False,False,False,True,False,False,
19-77365,False,False,False,False,True,False,False,
19-77366,False,False,False,False,True,False,False,
19-77370,False,False,False,False,False,True,False,
19-77371,False,False,False,False,False,False,False,
19-77376,False,False,False,False,False,False,True,
19-77378,False,False,False,False,False,False,True,
19-77380,False,False,False,False,False,False,True,
19-77382,False,False,False,False,True,False,False,
19-77384,False,False,False,False,False,False,False,
19-77388,False,False,False,True,False,False,False,
19-77390,False,False,False,False,False,True,False,
19-77391,False,False,True,False,False,False,False,
19-77392,False,False,False,False,True,False,False,
19-77394,False,False,False,False,True,False,False,
19-77397,False,False,False,False,True,False,False,
19-77402,False,False,False,False,False,False,True,
19-77403,False,True,False,False,False,False,False,
19-77404,False,False,False,False,False,True,False,
19-77410,False,False,False,False,True,False,False,
19-77414,False,False,False,False,True,False,False,
19-77415,False,False,False,False,True,False,False,
19-77416,False,False,False,False,True,False,False,
19-77417,False,False,False,False,False,False,False,
19-77418,False,False,False,False,False,False,True,
19-77423,False,False,False,False,True,False,False,
19-77426,False,False,False,False,False,False,False,
19-77428,False,False,False,False,True,False,False,
19-77430,False,False,False,False,False,False,True,
19-77431,False,False,False,False,True,False,False,
19-77433,False,False,False,False,True,False,False,
19-77435,False,False,False,False,False,False,True,
19-77437,False,False,False,False,True,False,False,
19-77438,False,False,False,False,True,False,False,
19-77439,False,False,False,False,False,False,True,
19-77441,False,False,False,False,False,False,True,
19-77443,False,False,False,False,False,False,False,
19-77444,False,False,False,False,True,False,False,
19-77445,False,False,False,False,True,False,False,
19-77449,False,False,False,False,True,False,False,
19-77451,False,False,False,False,True,False,False,
19-77452,False,False,False,False,False,False,True,
19-77454,False,False,False,False,True,False,False,
19-77457,False,False,False,False,False,True,False,
19-77458,False,False,False,False,True,False,False,
19-77459,False,False,False,False,False,False,True,
19-77463,False,False,False,False,True,False,False,
19-77464,False,True,False,False,False,False,False,
19-77465,False,False,False,True,False,False,False,
19-77471,False,False,False,False,True,False,False,
19-77472,False,False,False,False,True,False,False,
19-77477,False,False,False,False,True,False,False,
19-77486,False,False,False,False,True,False,False,
19-77488,False,False,False,False,False,False,True,
19-77491,False,False,False,False,False,False,False,
19-77493,False,False,False,False,False,False,True,
19-77495,False,False,False,False,False,False,True,
19-77498,False,False,False,False,False,False,False,
19-77500,False,False,False,False,True,False,False,
19-77501,False,False,False,False,True,False,False,
19-77503,False,False,False,False,True,False,False,
19-77506,False,False,False,False,False,False,False,
19-77508,False,False,False,False,False,False,True,
19-77512,False,False,False,False,True,False,False,
19-77514,False,False,False,False,False,False,True,
19-77515,False,False,False,False,True,False,False,
19-77516,False,False,False,False,False,True,False,
19-77517,False,False,False,False,True,False,False,
19-77519,False,False,False,False,True,False,False,
19-77520,False,False,False,False,True,False,False,
19-77528,False,False,False,False,False,False,True,
19-77529,False,False,False,False,False,False,False,
19-77532,False,False,False,False,True,False,False,
19-77534,False,False,False,False,False,False,True,
19-77536,False,False,False,False,False,False,True,
19-77544,False,False,False,True,False,False,False,
19-77545,False,False,False,False,False,False,True,
19-77547,False,False,False,False,True,False,False,
19-77550,False,False,False,False,False,False,False,
19-77551,False,False,False,False,False,False,True,
19-77552,False,False,False,False,False,False,False,
19-77553,False,False,False,False,False,False,True,
19-77554,False,False,False,False,False,False,True,
19-77556,False,False,False,False,True,False,False,
19-77559,False,False,False,False,True,False,False,
19-77560,False,False,False,False,False,False,False,
19-77564,False,False,False,False,True,False,False,
