BOAMP_AVIS_NUM,D_12_01_Conditionrelativemarche_Cautionnement,D_12_02_Conditionrelativemarche_Financement,D_12_03_Conditionrelativemarche_Formejuridique,D_12_04_Conditionrelativemarche_Participationelectroniqueoui,D_12_05_Conditionrelativemarche_Participationelectroniquenon,D_12_06_Conditionrelativemarche_Autresconditionspartoui,D_12_07_Conditionrelativemarche_Autresconditionspartnon,D_12_08_Conditionrelativemarche_Unitemonetaireeur,D_12_09_Conditionrelativemarche_Francaisseul,D_12_10_Conditionrelativemarche_Langues,D_12_10_01_Conditionrelativemarche_Langues_Langue,D_12_10_02_Conditionrelativemarche_Langues_Autres
18-101123,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
18-150995,,,,False,True,,False,False,False,CF_NIV_SUIV,['FR'],
18-181487,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
18-79855,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-101015,,"En application de l'article 11.6 du CCAG-FCS, l'administration se libère des montants dus au titulaire autitre du présent accord-cadre par ordonnance de paiement établie par virement au compte bancaire dutitulaire, sur remise de la demande de paiement et après vérification et réception de l'ensemble desprestations et certification du service fait.","Conformément à l'article R2142-24 du code de la commande publique, en cas de groupement conjoint lemandataire est solidaire pour l'exécution de l'accord-cadre de chacun des membres du groupement pourses obligations contractuelles à l'égard de l'administration. Le cas échéant, l'acte d'engagement feral'objet d'une mise au point avant signature de l'accord-cadre.",False,False,,True,True,False,CF_NIV_SUIV,['FR'],
19-101220,,,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
19-101307,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-101445,,,"L'entité adjudicatrice interdit aux candidats de présenter leurs offres en agissant à la fois en qualité de candidats individuels et de membres d'un ou plusieurs groupements, conformément à l'article R2142-21 du Code de la commande publique.En cas d'attribution de l'accord-cadre à un groupement conjoint, le mandataire du groupement sera solidaire, pour l'exécution de l'accord-cadre, de chacun des membres du groupement pour ses obligations contractuelles en application de l'article R2142-24 du Code de la commande publique.",True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-103207,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-103543,,,,True,False,,False,False,False,CF_NIV_SUIV,['FR'],
19-103843,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-105046,,,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
19-106109,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-106606,,"paiement dans un délai de 30 jours à compter de la date de réception des demandes de paiement.Pour le lot 1, la facturation s'effectuera dans les conditions de la convention WiFi4EU avec une répartition entre la ville de Pont-Audemer et l'Europe",entreprise seule ou en groupement,False,False,,False,True,True,CF_NIV_SUIV,,
