BOAMP_AVIS_NUM,D_12_01_Conditionrelativemarche_Cautionnement,D_12_02_Conditionrelativemarche_Financement,D_12_03_Conditionrelativemarche_Formejuridique,D_12_04_Conditionrelativemarche_Participationelectroniqueoui,D_12_05_Conditionrelativemarche_Participationelectroniquenon,D_12_06_Conditionrelativemarche_Autresconditionspartoui,D_12_07_Conditionrelativemarche_Autresconditionspartnon,D_12_08_Conditionrelativemarche_Unitemonetaireeur,D_12_09_Conditionrelativemarche_Francaisseul,D_12_10_Conditionrelativemarche_Langues,D_12_10_01_Conditionrelativemarche_Langues_Langue,D_12_10_02_Conditionrelativemarche_Langues_Autres
19-140729,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-140730,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-140731,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-140742,,,,False,True,,False,False,False,CF_NIV_SUIV,['FR'],
19-140751,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-140752,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-140757,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-140764,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-140768,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-140772,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-140774,,,Pas de forme imposée,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-140779,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-140782,,,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
19-140783,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-140785,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-140803,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-140804,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-140805,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-140806,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-140814,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-140830,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-140831,Il n'est pas prévu de retenue de garantie,Paiement sur facturesPrix fermes)Le délai global de paiement est de 30 jours maximum. Le mode de règlement sera le virement par mandat administratif.Avance de 20 % Le financement est assuré exclusivement par des ressources budgétaires de l'Etat,"Le marché sera passé avec un entrepreneur unique ou avec un groupement dont la forme est laissée librement au choix des candidats mais dont le mandataire sera obligatoirement solidaire de chacun des membres de ce groupement. Si les candidats se présentent en groupement conjoint, ils devront impérativement proposer une répartition des prestations entre cotraitants",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
19-140832,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
19-140833,,,,True,False,,False,False,False,CF_NIV_SUIV,['FR'],
19-140834,,,,True,False,,True,False,False,CF_NIV_SUIV,['FR'],
