BOAMP_AVIS_NUM,G_04_01_Indexation_Datepublication,G_04_02_Indexation_Datelimitereponse,G_04_03_Indexation_Datefindiffusion,G_04_04_Indexation_Classes,G_04_04_01_Indexation_Classes_Classe,G_04_04_01_01_Indexation_Classes_Classe_Code,G_04_04_01_02_Indexation_Classes_Classe_Libelle,G_04_05_Indexation_Descripteurs,G_04_05_01_Indexation_Descripteurs_Descripteur,G_04_05_01_01_Indexation_Descripteurs_Descripteur_Code,G_04_05_01_02_Indexation_Descripteurs_Descripteur_Libelle,G_04_06_Indexation_Criteressociauxenv,G_04_06_01_Indexation_Criteressociauxenv_Sociaux,G_04_06_02_Indexation_Criteressociauxenv_Environnementaux,G_04_07_Indexation_Deppublication,G_04_08_Indexation_Depprestation,G_04_09_Indexation_Resumeobjet
19-140152,2019-09-17 22:00:00,,2019-11-29 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,163,Informatique (prestations de services),CF_NIV_SUIV,False,False,37,,Prestation de services d'acquisition de données topographiques et bathymétriques par Lidar topo-bathymétrique sur la Loire et ses affluents pour le compte du programme ARD Intelligence des Patrim
19-140152,2019-09-17 22:00:00,,2019-11-29 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,274,Prestations de services,CF_NIV_SUIV,False,False,37,,Prestation de services d'acquisition de données topographiques et bathymétriques par Lidar topo-bathymétrique sur la Loire et ses affluents pour le compte du programme ARD Intelligence des Patrim
19-140153,2019-09-15 22:00:00,2019-10-22 16:00:00,2019-11-10 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,59,"Chauffage (exploitation, entretien)",CF_NIV_SUIV,False,False,16,,Entretien et maintenance (p2) des installations thermiques et climatiques
19-140153,2019-09-15 22:00:00,2019-10-22 16:00:00,2019-11-10 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,62,Climatisation,CF_NIV_SUIV,False,False,16,,Entretien et maintenance (p2) des installations thermiques et climatiques
19-140154,2019-09-17 22:00:00,,2019-10-15 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,115,Equipements spécialisés,CF_NIV_SUIV,False,False,34,,Diffractomètre de poudres et Spectromètre Mössbauer
19-140154,2019-09-17 22:00:00,,2019-10-15 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,181,Laboratoire (fourniture),CF_NIV_SUIV,False,False,34,,Diffractomètre de poudres et Spectromètre Mössbauer
19-140155,2019-09-16 22:00:00,,2019-10-16 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,106,Electrification rurale,CF_NIV_SUIV,False,False,89,,"Le présent appel d'offres concerne un marché public de travaux de réalisation d'études et travaux d'électrification, de télécommunication et de génie civil de réseau très haut débit."
19-140155,2019-09-16 22:00:00,,2019-10-16 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,141,Génie civil,CF_NIV_SUIV,False,False,89,,"Le présent appel d'offres concerne un marché public de travaux de réalisation d'études et travaux d'électrification, de télécommunication et de génie civil de réseau très haut débit."
19-140155,2019-09-16 22:00:00,,2019-10-16 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,338,Télécommunications,CF_NIV_SUIV,False,False,89,,"Le présent appel d'offres concerne un marché public de travaux de réalisation d'études et travaux d'électrification, de télécommunication et de génie civil de réseau très haut débit."
19-140157,2019-09-17 22:00:00,,2019-09-29 22:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,33,Bâtiment,CF_NIV_SUIV,False,True,78,,"Marché public global de performance pour la conception, la réalisation, l'exploitation etla maintenance du projet de réhabilitation et restructuration du Collège la Mare aux"
