BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
17-47678,Ville de Montpellier,21340172201787,,,FRJ13,1 place Georges Frêche,34267,Montpellier,,(+33) 4-67-34-87-63,,,marches-publics@montpellier3m.fr,https://www.montpellier.fr,https://marches.montpellier3m.fr,,,https://marches.montpellier.fr,,False,True,,False,True
18-149627,Métropole de Lyon,None,Monsieur le Vice-Président en charge du patrimoine et des moyens généraux,,,délégation aux Ressources Direction du Patrimoine et des Moyens Généraux Service Ressources Unité procédures - achats marchés CS 33569,69505,Lyon,,,,,dpmg.marches@grandlyon.com,http://marches.publics.grandlyon.com,http://marches.publics.grandlyon.com,,,,,False,False,,False,False
18-89973,Régie des Eaux Hazebrouck,None,,Pôle Achats et Marchés Publics,FRE11,MairieB.P. 70189,59524,Hazebrouck cedex,,(+33) 3-28-43-44-40,,,marchespublicsctm@ville-hazebrouck.fr,http://www.ville-hazebrouck.fr,http://www.marches-securises.fr,,http://www.marches-securises.fr,http://www.marches-securises.fr,,True,False,,False,True
19-100983,Société Immobilière de Kourou (SIMKO),None,,,FRY3,"33, avenue Jean Jaurès - B.P. 812",97388,Kourou cedex,GF,(+33) -05-94-32-10-34,,(+33) -05-94-32-29-95,ma.jules@simko.fr,http://www.simko.fr,http://simko973.e-marchespublics.com,,,,,False,True,,False,True
19-101062,CAP Nord Martinique,None,,,FRY20,,97225,LE MARIGOT,MQ,(+59)6- 5-96-53-50-23,,,marchespublics@capnordmartinique.fr,http://www.capnordmartinique.fr,http://www.marches-securises.fr,,http://www.marches-securises.fr,http://www.marches-securises.fr,,False,True,,False,True
19-102020,Ville d'Evian-les-Bains,21740119900013,,,FRK28,"2, rue de Clermont, CS 80098",74502,Evian-les-Bains Cedex,,(+33) 4-50-83-10-91,,(+33) 4-50-83-10-54,marches-publics@ville-evian.fr,http://ville-evian.fr,https://www.marches-securises.fr,,https://www.marches-securises.fr,https://www.marches-securises.fr,,True,False,,False,True
19-104894,Université de Caen Normandie,None,,www.marches-publics.gouv.fr,FRD1,CS14032,14032,Caen cedex 5,,,,,marches.publilcs@unicaen.fr,http://www.unicaen.fr,http://www.marches-publics.gouv.fr,,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,False,True,,False,True
19-105216,SOCIETE CANNOISE DE CONSTRUCTION ET D',None,,,FRL03,Villa Myosotis 183 Avenue Michel Jourdan,06150,Cannes la Bocca,,(+33) -04-93-90-46-50,,(+33) -04-93-90-46-54,fgirault.socaconam@gmail.com,https://www.socaconam.com,https://www.marches-securises.fr,,,https://www.marches-securises.fr,https://www.marches-securises.fr,False,True,,False,True
19-85624,CCI,None,,,FR,,None,Bastia,,,,,pf.agostini@ccihc.fr,http://www.ccihc.fr,,,,,,False,True,,False,True
19-106289,Montpellier Méditerranée Métropole,24340001700022,,"Direction Adjointe, Etudes, Rédaction, Procédures Commande Publique",FRJ13,1 place Georges Frêche,34267,Montpellier,,(+33) 4-67-13-60-00,,,marches-publics@montpellier3m.fr,https://www.montpellier3m.fr,https://marches.montpellier3m.fr,,https://marches.montpellier3m.fr,https://marches.montpellier3m.fr,,False,True,,False,True
19-107064,CHU de Martinique,None,,Département Achats,FRY2,CS 90632 - Département Achats,97261,Fort-de-France Cedex,,(+33) 5-96-55-20-23,,(+33) 5-96-75-72-99,jean-philippe.valentin@chu-martinique.fr,http://www.chu-martinique.fr,http://www.marches-publics.gouv.fr,,,,,False,True,,False,True
19-107159,Créteil-Habitat-SEMIC,None,M le Directeur Général,,,7 rue des Ecoles,94000,Créteil,,01-45-17-40-00,,01-45-17-42-13,service.marche@creteil-habitat.com,http://www.creteil-habitat.com,http://www.creteil-habitat-marches.com,,,,,False,False,,False,False
19-107595,Le Grand Narbonne,None,,,FRJ11,"12, Boulevard Frédéric MISTRAL CS 50100",11785,NARBONNE,,(+33) 4-68-58-14-58,,,commandepublique@legrandnarbonne.com,https://marchespublics.aude.fr,http://marchespublics.aude.fr,,,,,False,True,,False,True
19-108446,Ville de Biarritz,None,Direction des marchés et contrats publics,,,Avenue edouard VII - B.P. 58,64202,Biarritz cedex,,05-59-41-39-69,,,marche@biarritz.fr,http://www.ville.biarritz.fr,http://www.eadministration64.fr,,,,,False,False,,False,False
19-109358,DSNA,None,Monsieur le Directeur de la DTI,,,"Direction de la Technique et de l'Innovation 1 avenue du docteur Maurice Grynfogel, CS 53584",31035,Toulouse Cedex 1,,,,,,,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
19-110421,Commune de Landéda,None,Olivier Rousic,,,61 Ti Korn,29870,Landéda,,,,,,,,,,,,False,False,,False,False
19-111035,Ville d'Auray,None,,,FRH04,"100 place de la République, BP 10610",56406,AURAY CEDEX,,,,,marches.publics@ville-auray.fr,http://www.auray.fr,http://www.megalisbretagne.org,,,,,False,True,,False,True
19-111138,Commune de Bascons,None,,,FRI,,40090,BASCONS,,,,,mairie@bascons.fr,http://www.bascons,,,,,,False,True,,False,True
19-111399,MINARM/TERRE/SIMMT,None,Monsieur le sous-directeur des contrats,Mme Catherine Gicquel,,Etablissement ingénieur général Jayat - CS 30704,78013,Versailles,,(+33) 1-39-67-28-54,,,simmt-sdc-berc.cmf.agt.fct@intradef.gouv.fr,,http://www.marches-publics.gouv.fr,,http://www.marches-publics.gouv.fr,,,False,False,,False,False
