BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
19-172282,Pôle emploi - Direction régionale,None,"M. GARRIGA Quentin, Pôle Emploi Languedoc Roussillon - Midi Pyrénées",,,600 route de Vauguières - CS 40027,34078,Montpellier cedex 3,,,,,,,,,,,,False,False,,False,False
19-172283,MEEDDM,None,,,FR107,"1517,, rue olof palme",94046,Créteil cedex,,(+33) -01-46-76-87-24,,,yassine.abalhate@developpement-durable.gouv.fr,http://www.developpement-durable.gouv.fr/,http://www.marches-publics.gouv.fr,,,,,False,True,,False,True
19-172284,Ville d'Evian-les-Bains,21740119900211,,,FRK28,"2, rue de Clermont, CS 80098",74502,Evian-les-Bains Cedex,,(+33) 4-50-83-10-91,,(+33) 4-50-83-10-54,marches-publics@ville-evian.fr,http://ville-evian.fr,https://www.marches-securises.fr,,https://www.marches-securises.fr,https://www.marches-securises.fr,,False,True,,False,True
19-172285,C.R.O.U.S. de Montpellier,None,"Mme LAURENT Valérie, Adjointe responsable achats",,,2 rue Monteil CS 85053,34093,Montpellier,,,,,service.marches@crous-montpellier.fr,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
19-172287,HOPITAUX UNIVERSITAIRES PARIS CENTRE,None,,"Cellule des marchés, à l'attention de M. Stéphane NGUYEN",FR101,Hôpital Cochin - 123 boulevard de Port Royal,75014,Paris,,(+33) 1-58-41-33-47,,(+33) 1-58-41-18-19,stephane.nguyen2@aphp.fr,http://www.aphp.fr,https://www.marches-publics.gouv.fr,,,,,False,True,,False,True
19-172288,Ville de vernouillet,None,M. AKPINAR Simon,,,9 rue paul doumer,78540,Vernouillet,,01-39-71-56-00,,,simon.akpinar@mairie-vernouillet.fr,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
19-172289,Ville de Saint-Dizier,None, Elisabeth ROBERT DEHAULT,,,Hotel de Ville,52100,SAINT-DIZIER,,,,,,,https://www.xmarches.fr/entreprise/detailConsultation.php?key=12125,,,,,False,False,,False,False
19-172290,Syndicat des Eaux de Charente-Maritime,None,Mme BALUTEAU Martine,,,"131, Cours GenêtCS 50517",17119,Saintes cedex,,,,,martine.baluteau@eau17.fr,http://eau17.fr,http://marches-securises.fr,,,,,False,False,,False,False
19-172291,SEM 47,None,M. GALTIE Cyril,,,6 bis bvd SCALIGER,47000,Agen,,05-53-77-02-20,,,contact@sem47.fr,http://demat-ampa.fr,http://demat-ampa.fr,,,,,False,False,,False,False
19-172292,Territoires Soixante-Deux,None, Valentine BOUDRY,,,2 rue Joseph Marie Jacquard,62800,Lievin,,03-21-44-85-34,,,l.vanmarque@territoires62.fr,https://www.territoires62.fr,http://territoires62.e-marchespublics.com,,,,,False,False,,False,False
