BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
18-164687,False,False,False,False,False,False,Collectivité locale
19-111557,False,False,False,False,False,False,Etablissement Public administratif
19-112205,False,False,True,False,False,False,
19-114166,False,False,False,False,False,False,Etablissement Public de Coopération Intercommunale
19-114695,True,False,False,False,False,False,
19-119992,False,False,False,False,True,False,
19-120012,False,False,True,False,False,False,
19-124253,False,False,False,False,True,False,
19-128495,False,False,False,False,False,False,EPS
19-128640,False,False,True,False,False,False,
19-133440,False,False,True,False,False,False,
19-134409,False,False,False,False,True,False,
19-134468,False,False,False,False,True,False,
19-135287,False,False,False,False,False,False,EPCI
19-135408,False,False,False,False,False,False,autorité locale
19-136191,False,False,True,False,False,False,
19-136275,True,False,False,False,False,False,
19-138623,False,False,True,False,False,False,
19-138807,False,False,True,False,False,False,
19-139097,False,False,False,False,False,False,EPST
19-140890,False,False,True,False,False,False,
19-141601,False,False,False,False,False,False,Collectivité territoriale
19-144348,False,False,True,False,False,False,
19-144811,False,False,False,False,False,False,Commune
19-144841,False,False,False,False,False,False,Organisme de droit privé de la MSA
19-146211,False,False,False,False,False,False,collectivité territoriale
19-146297,False,False,True,False,False,False,
19-147371,False,False,True,False,False,False,
19-147437,True,False,False,False,False,False,
19-147443,False,False,False,False,False,False,Société anonyme d'économie mixte locale
19-148584,True,False,False,False,False,False,
19-148666,False,False,True,False,False,False,
19-148992,False,False,False,False,False,False,collectivité territoriale à statut particulier
19-149640,False,False,False,False,False,False,Etablissement public de santé
19-149808,True,False,False,False,False,False,
19-149866,False,False,False,False,False,False,Etablissement public de santé
19-149995,False,False,True,False,False,False,
19-150043,False,False,True,False,False,False,
19-150076,False,False,False,False,False,False,Etablissement public de santé
19-150145,False,False,False,False,True,False,
19-150205,False,False,True,False,False,False,
19-150503,True,False,False,False,False,False,
19-150768,False,False,True,False,False,False,
19-150821,False,False,True,False,False,False,
19-150910,False,False,True,False,False,False,
19-150946,False,False,False,False,True,False,
19-151015,False,False,True,False,False,False,
19-151199,False,False,True,False,False,False,
19-151421,False,False,True,False,False,False,
19-151681,False,False,True,False,False,False,
19-151933,False,False,True,False,False,False,
19-152211,False,False,False,False,True,False,
19-152782,False,False,True,False,False,False,
19-152912,False,False,True,False,False,False,
19-153121,False,False,True,False,False,False,
19-153147,True,False,False,False,False,False,
19-153268,False,False,True,False,False,False,
19-153553,False,False,True,False,False,False,
19-153666,False,False,True,False,False,False,
19-153679,False,False,False,False,False,False,Etablissement Public Local
19-153801,False,False,True,False,False,False,
19-154295,False,False,True,False,False,False,
19-154433,False,False,True,False,False,False,
19-154475,False,False,True,False,False,False,
19-154642,False,False,False,False,False,False,Organisme de droit privé de la MSA
19-154661,False,False,True,False,False,False,
19-154798,True,False,False,False,False,False,
19-154805,True,False,False,False,False,False,
19-155157,False,False,True,False,False,False,
19-155213,False,False,False,False,True,False,
19-155407,False,False,False,False,False,False,Groupement de Coopération Sanitaire
19-155452,False,False,False,False,False,False,"Aménagement, gestion, promotion et animation du territoire"
19-155485,False,False,True,False,False,False,
19-155562,False,False,False,False,False,False,SANTE
19-155610,False,False,True,False,False,False,
19-155687,False,False,True,False,False,False,
19-155963,False,False,True,False,False,False,
19-156263,False,False,False,False,False,False,"Aménagement, gestion, promotion et animation du territoire"
19-156314,False,False,True,False,False,False,
19-156370,True,False,False,False,False,False,
19-156440,False,False,True,False,False,False,
19-156715,False,False,True,False,False,False,
19-157114,False,False,False,False,True,False,
19-157302,False,False,False,False,True,False,
19-157344,True,False,False,False,False,False,
19-158106,False,False,True,False,False,False,
19-158434,False,False,True,False,False,False,
19-158473,False,False,False,False,False,False,EPA
19-158490,True,False,False,False,False,False,
19-158645,False,False,True,False,False,False,
19-158929,False,False,False,True,False,False,
19-158934,False,False,True,False,False,False,
19-159082,False,False,True,False,False,False,
19-159112,False,False,False,False,False,False,Groupement d'Intétêt Public
19-159250,False,False,False,False,False,False,société anonyme d'économie mixte locale
19-159801,False,False,False,False,False,False,Organisme de droit privé de la MSA
19-160163,False,False,False,False,False,False,Etablissement public de santé
19-160425,False,False,True,False,False,False,
19-160454,False,False,False,False,True,False,
19-160646,False,False,True,False,False,False,
19-160727,True,False,False,False,False,False,
19-160771,False,False,True,False,False,False,
19-160821,False,False,True,False,False,False,
19-160829,False,False,True,False,False,False,
19-160838,False,False,True,False,False,False,
19-160864,False,False,True,False,False,False,
19-161073,False,False,True,False,False,False,
19-161150,False,False,True,False,False,False,
19-161172,False,False,False,False,False,False,Métropole
19-161201,True,False,False,False,False,False,
19-161263,False,False,True,False,False,False,
19-161486,False,False,True,False,False,False,
19-161532,False,False,False,False,True,False,
19-161722,False,False,False,False,False,False,Etablissement public de santé
19-161733,False,False,True,False,False,False,
19-161747,False,False,False,False,False,False,Etablissement consulaire
19-161765,False,False,True,False,False,False,
19-161817,False,False,False,False,False,False,collectivité territoriale
19-161961,False,False,True,False,False,False,
19-162126,False,False,False,False,False,False,Association Loi 1901
19-162151,False,False,False,False,False,False,etablissement public administratif
19-162179,False,False,True,False,False,False,
19-162182,True,False,False,False,False,False,
19-162203,False,False,True,False,False,False,
19-162228,False,False,False,False,False,False,Etablissement public de santé
19-162285,False,False,False,False,False,False,Assurance Maladie
19-162455,False,False,True,False,False,False,
19-162458,True,False,False,False,False,False,
19-132102,False,False,True,False,False,False,
19-162630,False,False,True,False,False,False,
19-162673,False,False,True,False,False,False,
19-162698,False,False,True,False,False,False,
19-162866,False,False,True,False,False,False,
19-162914,False,False,True,False,False,False,
19-163004,False,False,True,False,False,False,
19-163012,False,False,False,False,False,False,Commune
19-163054,True,False,False,False,False,False,
19-163206,False,False,True,False,False,False,
19-163639,False,False,True,False,False,False,
19-163714,True,False,False,False,False,False,
19-163814,False,False,True,False,False,False,
19-163816,False,False,True,False,False,False,
19-163897,False,False,False,False,False,False,Collectivité territoriale à statut particulier
19-164189,False,False,False,False,False,False,Institution de retraite complémentaire
19-133111,False,False,False,False,False,False,Organisme de sécurité sociale
19-164265,False,False,True,False,False,False,
19-164341,False,False,True,False,False,False,
19-164407,False,False,True,False,False,False,
19-164429,False,False,False,False,False,False,Etablissement public de coopération intercommunale
19-164431,False,False,False,False,False,False,Etablissement privé assurant un service public
19-164442,True,False,False,False,False,False,
19-164510,False,False,True,False,False,False,
19-164512,True,False,False,False,False,False,
19-164522,False,False,True,False,False,False,
19-164538,False,False,True,False,False,False,
19-164550,False,False,False,False,False,False,Etablissement Public de Santé
19-164555,True,False,False,False,False,False,
19-164629,False,False,False,False,True,False,
19-164680,False,False,True,False,False,False,
19-164683,True,False,False,False,False,False,
19-164701,False,False,True,False,False,False,
19-164722,False,False,True,False,False,False,
19-164751,False,False,True,False,False,False,
19-164780,False,False,False,False,True,False,
19-164900,False,False,False,False,True,False,
19-122746,False,False,True,False,False,False,
19-164947,False,False,False,False,True,False,
