BOAMP_AVIS_NUM,D_18_01_Annexed1_Infructueuxouverte,D_18_02_Annexed1_Infructueuxrestreinte,D_18_03_Annexed1_Recherche,D_18_04_Annexed1_Raisonstechniques,D_18_05_Annexed1_Raisonsartistiques,D_18_06_Annexed1_Proprieteintellectuelle,D_18_07_Annexed1_Urgenceimperieuse,D_18_08_Annexed1_Marchecomplementaire,D_18_09_Annexed1_Prestationsidentiques,D_18_10_Annexed1_Laureatsconcours,D_18_11_Annexed1_Matierespremieres,D_18_12_Annexed1_Cessationactivite,D_18_13_Annexed1_Liquidateurs,D_18_14_Annexed1_Horsscope,D_18_15_Annexed1_Explication
19-183594,False,False,False,False,False,False,False,,False,False,,,,True,"en vertu des directives européennes 2004/17/ce et 2004/18/ce, les présents marchés de travaux sont inférieurs au seuil d'application des directives susvisées. Ces derniers ne sont donc pas soumis à l'obligation de publication préalable d'un avis de marché au JOUE"
19-184826,False,False,False,False,False,False,False,,False,False,,,,True,"La valeur totale estimée de ce marché de services était inférieure au seuil fixé par le code des marchés publics (221 000 euro HT). Ce marché ne relève par conséquent pas du champ d'application de cette directive, qui n'impose pas la publication d'un avis de marché au JOUE, concernant les marchés de services mais que pour les marchés dont la valeur totale estimée est égale ou supérieure à ce seuil. Le marché a fait l'objet de la publication d'un avis de marché au niveau national, sur le support proposé par Ouest France."
19-184830,False,False,False,False,False,False,False,,False,False,,,,True,"en vertu des directives européennes 2004/17/ce et 2004/18/ce, les présents marchés de travaux sont inférieurs au seuil d'application des directives susvisées. Ces derniers ne sont donc pas soumis à l'obligation de publication préalable d'un avis de marché au JOUE "
19-184888,False,False,False,False,False,False,False,,False,False,,,,True," Contrat attribué selon une procédure adaptée, d'un montant inférieur aux seuils fixés par les directives et pour lequel la publication préalable d'un avis de marché au JOUE n'est pas obligatoire"
19-185049,False,False,False,False,False,False,False,,False,True,,,,False,Les marchés de maîtrise d'oeuvre attribué au lauréat d'un concours peuvent être passés sans publicité ni mise en concurrence préalables.
19-185055,False,False,False,False,False,False,False,,False,False,,,,True,Le montant du marché est inférieur aux seuils européens nécessitant la publication préalable au JOUE
19-185115,False,False,False,False,False,False,False,,False,False,,,,True,Procédure adaptée non soumise à publication préalable au JOUE
19-185123,False,False,False,False,False,False,False,,False,False,,,,True,Procédure adaptée non soumise à publication préalable au JOUE
19-185127,False,False,False,False,False,False,False,,False,False,,,,True,Procédure adaptée non soumise à publication préalable au JOUE
19-185210,False,False,False,False,False,False,False,,False,False,,,,True,"Il s'agit d'un accord-cadre de fournitures estimé à 40 000 euro  HT sur la durée reconductions comprises, soit une estimation inférieure au seuil formalisé."
